question,answer,source_page
How long is the Emerald Lake loop trail in Yoho National Park?,The Emerald Lake loop trail is 5.2 km long.,https://parks.canada.ca/pn-np/bc/yoho/activ/places
What is the length of the vehicle access road restriction for vehicles navigating the Yoho Valley Road?,"Vehicles over 7 m (23 ft) in length must reverse in order to navigate around the tight switchbacks, and trailers are not permitted.",https://parks.canada.ca/pn-np/bc/yoho/activ/places
How far is the Takakkaw Falls front-country campground from the parking lot in Yoho National Park?,It is just 300 m from the parking lot.,https://parks.canada.ca/pn-np/bc/yoho/activ/places
When are all overnight camping reservations for Lake O'Hara offered on the Parks Canada Reservation Service?,"Tuesday, February 10, 2026 at 8:00 am MT.",https://parks.canada.ca/pn-np/bc/yoho/activ/randonnee-hike/ohara/visit
What is the maximum baggage weight allowed per person on the Lake O'Hara day-use shuttle?,The maximum weight is 25 kg / 55 lbs per person.,https://parks.canada.ca/pn-np/bc/yoho/activ/randonnee-hike/ohara/visit
What are the outgoing times for the Lake O'Hara Day-Use Bus schedule?,"The outgoing times are 9:30, 11:30, 14:30, 16:30, and 18:30 (MDT).",https://parks.canada.ca/pn-np/bc/yoho/activ/randonnee-hike/ohara/visit
What is the phone number for the Yoho Visitor Centre from May to mid-October?,1-250-343-6783.,https://parks.canada.ca/pn-np/bc/yoho
How many emergency phones are available along BC Highway 93S in Kootenay National Park?,Four emergency phones are available along BC Highway 93S.,https://parks.canada.ca/pn-np/bc/kootenay/securite-safety
Where is the Marble Canyon Day-use Area emergency telephone located in Kootenay National Park?,"17 km from Castle Junction and 87 km from Radium Hot Springs (51.186, -116.12243).",https://parks.canada.ca/pn-np/bc/kootenay/securite-safety
What phone number should be called for backcountry emergencies in Kootenay National Park?,403-762-4506.,https://parks.canada.ca/pn-np/bc/kootenay/securite-safety
What is the seasonal restriction for hiking parties on the Kindersley Pass trail in Kootenay National Park?,"Hiking parties must be in a group size of four or more, the maximum distance between two individuals must not exceed 3 metres, and each party should carry bear spray.",https://parks.canada.ca/pn-np/bc/kootenay/activ/randonnee-hike/etat-sentiers-trail-conditions
Why is the Numa Creek trail closed in Kootenay National Park?,It is closed due to a bridge washout and debris on the trail.,https://parks.canada.ca/pn-np/bc/kootenay/activ/randonnee-hike/etat-sentiers-trail-conditions
What temperature is the hot pool water kept at in the Radium Hot Springs of Kootenay National Park?,Between 37°C and 40°C (98°F and 104°F).,https://parks.canada.ca/pn-np/bc/kootenay/sources-radium-springs
What is the mineral with the highest concentration found at Radium Hot Springs?,"Sulphate, at 302 mg/l.",https://parks.canada.ca/pn-np/bc/kootenay/sources-radium-springs
When is the Canada Strong Pass valid for discounts during the winter season at Radium Hot Springs?,"From December 12, 2025 to January 15, 2026.",https://parks.canada.ca/pn-np/bc/kootenay/sources-radium-springs
What is the address of the Visitor Centre for Kootenay National Park?,"7556 Main Street East, Radium Hot Springs, B.C., V0A 1M0.",https://parks.canada.ca/pn-np/bc/kootenay
Which email address can hikers use to share pictures and impressions of Kootenay National Park trails to keep the report accurate?,kootenayinfo-infokootenay@pc.gc.ca.,https://parks.canada.ca/pn-np/bc/kootenay/activ/randonnee-hike/etat-sentiers-trail-conditions
How far should visitors stay away from bears when viewing wildlife in Waterton Lakes National Park?,About three times the distance of three bus lengths (approximately 90 metres or 300 feet).,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/observationfaune-wildlifeviewing
What phone number should be called to report wildlife such as a predator in a campground in Waterton Lakes National Park?,Call 1-888-927-3367.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/observationfaune-wildlifeviewing
In what year did Waterton Lakes National Park establish its herd of plains bison in the bison paddock?,In 1952.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet
How long is the Horseshoe Basin Trail in Waterton Lakes National Park?,The Horseshoe Basin Trail is 21.3 km return.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet
What does the Siksikaisitapi word Aohkiaahkoinimaan mean regarding the Maskinonge area of Waterton Lakes National Park?,It means Water Nation Pipe.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet
What is the distance for the Bear's Hump trail in Waterton Lakes National Park?,2.8 km (1.8 mi) return.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/randonee-hiking
How long does the Crypt Lake hike in Waterton Lakes National Park take to complete?,Approximately 6 hours for the 17.2 km (10.7 mi) trail.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/randonee-hiking
When do wildflowers generally begin to bloom in the Horseshoe Basin area of Waterton Lakes National Park?,Wildflowers begin to bloom in May.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet
What two national parks were recognized by the International Dark Sky Association as an International Dark Sky Park in 2017?,Waterton Lakes National Park and Glacier National Park of the United States.,https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet
What is the general inquiries phone number for Waterton Lakes National Park?,403-859-5133.,https://parks.canada.ca/pn-np/ab/waterton
How many species of birds have been recorded in the Point Pelee National Park Birding Area?,More than 390 species of birds.,https://parks.canada.ca/pn-np/on/pelee/activ/oiseaux-birds
What is the length of the Centennial Hike and Bike Trail in Point Pelee National Park?,The Centennial Hike and Bike Trail is 6 km long.,https://parks.canada.ca/pn-np/on/pelee/activ/velo-bicycling
From what dates does the Chinquapin Oak Trail in Point Pelee National Park become a pedestrian-only trail for birding?,From April 15 to May 31 yearly.,https://parks.canada.ca/pn-np/on/pelee/activ/velo-bicycling
How many kilometres of bike trails are available to explore in Point Pelee National Park?,There are 12 km of bike trails.,https://parks.canada.ca/pn-np/on/pelee/activ/velo-bicycling
What time do freighter canoe tours take place at Point Pelee National Park on Saturdays and Sundays?,"At 11:30 am, 1:30 pm, and 3:30 pm.",https://parks.canada.ca/pn-np/on/pelee/activ/pagayez-paddling
What phone number must be called to reserve a spot on the Freighter Canoe Tour in Point Pelee National Park?,519-322-2365 ext. 0.,https://parks.canada.ca/pn-np/on/pelee/activ/pagayez-paddling
Which company provides canoe and kayak rentals at Point Pelee National Park?,Pelee Wings.,https://parks.canada.ca/pn-np/on/pelee/activ/pagayez-paddling
How long is the Marsh Boardwalk trail in Point Pelee National Park?,The Marsh Boardwalk is a 1 km loop that takes approximately 45 minutes.,https://parks.canada.ca/pn-np/on/pelee/activ/randonnee-hiking
In what month can visitors see the flowers of the Redbud tree on the Redbud Footpath in Point Pelee National Park?,Near the end of May.,https://parks.canada.ca/pn-np/on/pelee/activ/randonnee-hiking
What is the address for Point Pelee National Park?,"1118 Point Pelee Drive, Leamington ON N8H 3V4.",https://parks.canada.ca/pn-np/on/pelee
How many campsites and yurts are located in the Cyprus Lake Campground at Bruce Peninsula National Park?,The campground has 232 campsites and 10 yurts.,https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations
During what dates are reservations required for Halfway Log Dump parking in Bruce Peninsula National Park?,Reservations are required from June 19 to September 7.,https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations
How long is the hike from the parking lot to the rugged shoreline at Halfway Log Dump in Bruce Peninsula National Park?,It is about a 1 km hike.,https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations
What is the address of the Parks Canada Visitor Centre for Bruce Peninsula National Park?,"120 Chi sin tib dek Road, Tobermory ON N0H 2R0.",https://parks.canada.ca/pn-np/on/bruce
How long does it take to hike the Horse Lake Trail in Bruce Peninsula National Park?,It takes approximately 0.5 hours to hike the 1 km trail.,https://parks.canada.ca/pn-np/on/bruce/activ/sentiers-trails
From what date will Tamarack campsites in Cyprus Lake Campground be available for winter camping in Bruce Peninsula National Park?,They will be available as of December 1.,https://parks.canada.ca/pn-np/on/bruce/activ
Between what dates are parking reservations required at Little Cove in Bruce Peninsula National Park?,From May 15 to September 15.,https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations
How long are the reserved parking time slots for Little Cove in Bruce Peninsula National Park?,Parking is by reservation only with four-hour time slots.,https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations
What telephone number can be called to report national park violations and public safety issues at Bruce Peninsula National Park?,1-877-852-3100.,https://parks.canada.ca/pn-np/on/bruce
Which island in Fathom Five National Marine Park is accessible via private tour boat from Tobermory?,Flowerpot Island.,https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations
How much does a weekly parking tag cost for Great Smoky Mountains National Park?,A weekly parking tag is $15.,https://www.nps.gov/grsm/faqs.htm
What two walking paths in Great Smoky Mountains National Park permit pets on a leash?,The Gatlinburg Trail and the Oconaluftee River Trail.,https://www.nps.gov/grsm/faqs.htm
Which road in Great Smoky Mountains National Park is closed to motor vehicles on Wednesdays from May to September to allow for biking?,Cades Cove Loop Road (11 miles).,https://www.nps.gov/grsm/faqs.htm
How can visitors reach LeConte Lodge in Great Smoky Mountains National Park?,LeConte Lodge can only be accessed by hiking to the summit of Mt. LeConte.,https://www.nps.gov/grsm/faqs.htm
How many black bears are estimated to live in Great Smoky Mountains National Park?,"It is estimated that around 1,900 black bears live in the park.",https://www.nps.gov/grsm/faqs.htm
What is the highest peak in Great Smoky Mountains National Park?,"Kuwohi (formerly Clingmans Dome) is the highest peak, standing at 6,643 feet.",https://www.nps.gov/grsm/faqs.htm
How many species of salamanders have been identified within Great Smoky Mountains National Park?,There are 31 species of salamanders identified within the park.,https://www.nps.gov/grsm/faqs.htm
In what year was Great Smoky Mountains National Park founded?,Great Smoky Mountains National Park was founded in 1934.,https://www.nps.gov/grsm/faqs.htm
What is the closest NPS visitor center to the Big Creek area of Great Smoky Mountains National Park?,Sugarlands Visitor Center is the closest NPS visitor center to Big Creek.,https://www.nps.gov/grsm/planyourvisit/big-creek.htm
Which road is the most direct route into the Cataloochee Valley in Great Smoky Mountains National Park?,The most direct route is Cove Creek Road.,https://www.nps.gov/grsm/planyourvisit/cataloochee-balsam.htm
"From March through late November, how can visitors access the Zion Canyon Scenic Drive in Zion National Park?",Access is by shuttle bus only during this time. Private vehicles are allowed only when the Shuttle System is not in operation.,https://www.nps.gov/zion/frequently-asked-questions-about-zion-canyon.htm
What are the red permits used for in Zion Canyon at Zion National Park?,"Red permits are issued for overnight guests of the Zion Lodge, allowing them to park in the lodge parking lot.",https://www.nps.gov/zion/frequently-asked-questions-about-zion-canyon.htm
Where is the closest camping available in Zion Canyon at Zion National Park?,"The closest camping is available in Watchman and South campgrounds, located near the south entrance.",https://www.nps.gov/zion/frequently-asked-questions-about-zion-canyon.htm
Which trails in Zion National Park are wheelchair accessible with assistance?,The Pa'rus Trail and the Riverside Walk.,https://www.nps.gov/zion/frequently-asked-questions-about-zions-hiking-trails.htm
On which trail in Zion National Park are bicycles and leashed pets allowed?,The Pa'rus Trail.,https://www.nps.gov/zion/frequently-asked-questions-about-zions-hiking-trails.htm
Which two trails in Zion National Park were constructed by the Civilian Conservation Corps (CCC)?,The Watchman Trail (completed in 1934) and the Canyon Overlook Trail (completed in 1933).,https://www.nps.gov/zion/frequently-asked-questions-about-zions-hiking-trails.htm
Is a permit required to day hike the Narrows from the bottom up in Zion National Park?,"No, a permit is not required for the bottom-up day hike starting from the Riverside Walk.",https://www.nps.gov/zion/frequently-asked-questions-about-the-narrows-virgin-river.htm
How did the Virgin River in Zion National Park get its name?,It is believed that the Virgin River was named 'La Virgen' by Spanish Catholic Missionaries in honor of the Virgin Mary.,https://www.nps.gov/zion/frequently-asked-questions-about-the-narrows-virgin-river.htm
How far is the hike to Kolob Arch in Zion National Park's Kolob Canyons area?,It is a 7-mile one-way hike.,https://www.nps.gov/zion/frequently-asked-questions-about-kolob-canyons.htm
Where must all Wilderness permits for Kolob Canyons in Zion National Park be picked up?,All Wilderness permits must be picked up at the Zion Canyon Visitor Center.,https://www.nps.gov/zion/frequently-asked-questions-about-kolob-canyons.htm
What is the average depth of the Grand Canyon?,The average depth is 1 mile (1.6 km).,https://www.nps.gov/grca/learn/management/statistics.htm
How many species of birds are found in Grand Canyon National Park?,There are 450 species of birds.,https://www.nps.gov/grca/learn/management/statistics.htm
In what year did Grand Canyon National Park implement its shuttle system?,The shuttle system was implemented in 1974.,https://www.nps.gov/grca/learn/management/statistics.htm
How long is the 'We Are Grand Canyon' film shown at the Grand Canyon Visitor Center theater?,The film is 24 minutes long.,https://www.nps.gov/grca/planyourvisit/things2do.htm
During which months is Hermit Road at the South Rim of the Grand Canyon open to private vehicles?,"Hermit Road is open to private vehicles under 22 feet during December, January, and February, when there is no bus service.",https://www.nps.gov/grca/planyourvisit/things2do.htm
What is the maximum capacity and time limit for visitors in the Desert View Watchtower at Grand Canyon National Park?,"The capacity is 25 people in the tower at one time, with a 20-minute time limit.",https://www.nps.gov/grca/planyourvisit/things2do.htm
How far is the Tusayan Pueblo from Desert View in Grand Canyon National Park?,The Tusayan Pueblo is located 3 miles (5 km) west of Desert View.,https://www.nps.gov/grca/planyourvisit/things2do.htm
What is the fee for a Standard individual entrance pass for a pedestrian or bicyclist at Grand Canyon National Park?,The individual pass fee is $20.00.,https://www.nps.gov/grca/planyourvisit/fees.htm
How much is the additional nonresident fee for non-US residents aged 16 and older at Grand Canyon National Park?,Non-US residents must pay an additional $100 per person fee.,https://www.nps.gov/grca/planyourvisit/fees.htm
What is the commercial tour fee for vehicles with a capacity of 26 or greater entering Grand Canyon National Park?,They will be charged a flat fee of $300.00.,https://www.nps.gov/grca/planyourvisit/fees.htm
How many visitor centers and developed areas with lodges are located within Yellowstone National Park?,There are ten visitor centers and eight developed areas.,https://www.nps.gov/yell/planyourvisit/placestogo.htm
What hydrothermal features are listed as highlights of the Madison area in Yellowstone National Park?,"Fountain Paint Pot, Grand Prismatic Spring, Great Fountain Geyser, Midway Geyser Basin, Terrace Springs, and White Dome Geyser.",https://www.nps.gov/yell/planyourvisit/placestogo.htm
Which two lodges in Yellowstone National Park are the only ones open in the winter?,Old Faithful Snow Lodge and Mammoth Hot Springs Hotel.,https://www.nps.gov/yell/faqs.htm
How did Yellowstone National Park get its name?,"It is named after the Yellowstone River, which French-Canadian trappers translated as 'Roche Jaune' from the Minnetaree tribe's name 'Mi tse a-da-zi' (Rock Yellow River). English explorer David Thompson later translated it to 'Yellow Stone'.",https://www.nps.gov/yell/faqs.htm
What is the highest peak in Yellowstone National Park?,"Eagle Peak in the southeastern part of Yellowstone is the highest at 11,358 feet.",https://www.nps.gov/yell/faqs.htm
How many caldera-forming eruptions have occurred in Yellowstone's history?,There have been three massive caldera-forming eruptions.,https://www.nps.gov/yell/learn/nature/volcano.htm
How far away did the ash from Yellowstone's 2.1 million-year-old volcanic eruption reach?,"It coated 5,790 square miles with ash, reaching as far away as Missouri.",https://www.nps.gov/yell/learn/nature/volcano.htm
What are the three components necessary for the existence of geysers and hydrothermal features in Yellowstone National Park?,"Heat, water, and a natural 'plumbing' system.",https://www.nps.gov/yell/learn/nature/hydrothermal-systems.htm
"What happened at Steamboat Geyser in Yellowstone National Park on March 15, 2018?",It began a period of more frequent eruptions after three and a half years of dormancy.,https://www.nps.gov/yell/learn/nature/hydrothermal-systems.htm
"What foreign objects were ejected during the rare eruption of Ear Spring in Yellowstone National Park on September 15, 2018?",The eruption ejected foreign objects including coins and trash dating back to the 1930s.,https://www.nps.gov/yell/learn/nature/hydrothermal-systems.htm
How many mammal species are known to be native to the Rocky Mountain National Park area?,67 mammal species are known to be native to the area.,https://www.nps.gov/romo/learn/nature/mammals.htm
What three mammal species were locally extirpated from Rocky Mountain National Park in the 19th and early 20th centuries?,"Grizzly bears, gray wolves, and bison.",https://www.nps.gov/romo/learn/nature/mammals.htm
How many species of bats are known to live in Rocky Mountain National Park?,There are 9 known species of bats.,https://www.nps.gov/romo/learn/nature/mammals.htm
What are the three main ecosystems that visitors can explore in Rocky Mountain National Park?,"The montane, subalpine, and alpine life zones.",https://www.nps.gov/romo/plan-your-summer-trip-to-rocky.htm
What is the elevation at the start of Bear Lake Road near the Beaver Meadows Entrance in Rocky Mountain National Park?,"The elevation is 8,200 feet (2,500 meters).",https://www.nps.gov/romo/plan-your-summer-trip-to-rocky.htm
Which road in Rocky Mountain National Park is the highest continuously paved road in North America?,Trail Ridge Road.,https://www.nps.gov/romo/plan-your-summer-trip-to-rocky.htm
During what time of day can the sound of an elk's bugle typically be heard across montane meadows during the fall rut in Rocky Mountain National Park?,Especially at dawn and dusk.,https://www.nps.gov/romo/plan-your-fall-trip-to-rocky.htm
In what valley is the Holzwarth Historic Site located in Rocky Mountain National Park?,The Kawuneeche Valley.,https://www.nps.gov/romo/planyourvisit/holzwarth-historic-site.htm
"During the summer, what are the operating hours for the buildings at the Holzwarth Historic Site in Rocky Mountain National Park?",The buildings are open and staffed every day from 9:30 am - 2:30 pm.,https://www.nps.gov/romo/planyourvisit/holzwarth-historic-site.htm
In what year did John and Sophia Holzwarth use the Homestead Act to make a home in what is now Rocky Mountain National Park?,In 1917.,https://www.nps.gov/romo/planyourvisit/holzwarth-historic-site.htm
In what year was Yosemite first protected?,It was first protected in 1864.,https://www.nps.gov/yose/index.htm
How large is Yosemite National Park?,"It protects nearly 1,200 square miles (311,000 Ha).",https://www.nps.gov/yose/index.htm
What three highways provide access to Yosemite Valley from the west all year?,"Highways 41, 140, and 120.",https://www.nps.gov/yose/planyourvisit/yv.htm
Between which months is the Happy Isles Art and Nature Center in Yosemite Valley open?,It is open from May to September.,https://www.nps.gov/yose/planyourvisit/yv.htm
What are the permitted hours to drive the road to Hetch Hetchy in Yosemite National Park?,"The road to Hetch Hetchy is open only during daylight hours, from sunrise to sunset.",https://www.nps.gov/yose/planyourvisit/hh.htm
How far is Hetch Hetchy from Yosemite Valley?,"Hetch Hetchy is located 38 miles (61 km), or about 1 hour and 15 minutes from Yosemite Valley.",https://www.nps.gov/yose/planyourvisit/hh.htm
Why are swimming and boating prohibited in Hetch Hetchy Reservoir in Yosemite National Park?,They are prohibited in order to maintain a clean source of drinking water.,https://www.nps.gov/yose/planyourvisit/hh.htm
"What does the Miwok word hatchhatchie mean, from which Hetch Hetchy derives its name?",It means 'edible grasses.',https://www.nps.gov/yose/planyourvisit/hh.htm
Which three giant sequoia groves are located in Yosemite National Park?,"The Mariposa Grove, the Tuolumne Grove, and the Merced Grove.",https://www.nps.gov/yose/faqs.htm
