question,answer,source_page
"When do the 2026 reservations for guided hikes launch for Yoho National Park?","Tuesday, January 20, 2026, at 8 am MT.","https://parks.canada.ca/pn-np/bc/yoho/activ/guidee-conservation-guided"
"How long is the Emerald Lake loop trail in Yoho National Park?","The Emerald Lake loop trail is 5.2 km long.","https://parks.canada.ca/pn-np/bc/yoho/activ/places"
"What is the length of the vehicle access road restriction for vehicles navigating the Yoho Valley Road?","Vehicles over 7 m (23 ft) in length must reverse in order to navigate around the tight switchbacks, and trailers are not permitted.","https://parks.canada.ca/pn-np/bc/yoho/activ/places"
"How far is the Takakkaw Falls front-country campground from the parking lot in Yoho National Park?","It is just 300 m from the parking lot.","https://parks.canada.ca/pn-np/bc/yoho/activ/places"
"When are all overnight camping reservations for Lake O'Hara offered on the Parks Canada Reservation Service?","Tuesday, February 10, 2026 at 8:00 am MT.","https://parks.canada.ca/pn-np/bc/yoho/activ/randonnee-hike/ohara/visit"
"What is the maximum baggage weight allowed per person on the Lake O'Hara day-use shuttle?","The maximum weight is 25 kg / 55 lbs per person.","https://parks.canada.ca/pn-np/bc/yoho/activ/randonnee-hike/ohara/visit"
"What are the outgoing times for the Lake O'Hara Day-Use Bus schedule?","The outgoing times are 9:30, 11:30, 14:30, 16:30, and 18:30 (MDT).","https://parks.canada.ca/pn-np/bc/yoho/activ/randonnee-hike/ohara/visit"
"What is the phone number for the Yoho Visitor Centre from May to mid-October?","1-250-343-6783.","https://parks.canada.ca/pn-np/bc/yoho"
"How many emergency phones are available along BC Highway 93S in Kootenay National Park?","Four emergency phones are available along BC Highway 93S.","https://parks.canada.ca/pn-np/bc/kootenay/securite-safety"
"Where is the Marble Canyon Day-use Area emergency telephone located in Kootenay National Park?","17 km from Castle Junction and 87 km from Radium Hot Springs (51.186, -116.12243).","https://parks.canada.ca/pn-np/bc/kootenay/securite-safety"
"What phone number should be called for backcountry emergencies in Kootenay National Park?","403-762-4506.","https://parks.canada.ca/pn-np/bc/kootenay/securite-safety"
"What is the seasonal restriction for hiking parties on the Kindersley Pass trail in Kootenay National Park?","Hiking parties must be in a group size of four or more, the maximum distance between two individuals must not exceed 3 metres, and each party should carry bear spray.","https://parks.canada.ca/pn-np/bc/kootenay/activ/randonnee-hike/etat-sentiers-trail-conditions"
"Why is the Numa Creek trail closed in Kootenay National Park?","It is closed due to a bridge washout and debris on the trail.","https://parks.canada.ca/pn-np/bc/kootenay/activ/randonnee-hike/etat-sentiers-trail-conditions"
"What temperature is the hot pool water kept at in the Radium Hot Springs of Kootenay National Park?","Between 37°C and 40°C (98°F and 104°F).","https://parks.canada.ca/pn-np/bc/kootenay/sources-radium-springs"
"What is the mineral with the highest concentration found at Radium Hot Springs?","Sulphate, at 302 mg/l.","https://parks.canada.ca/pn-np/bc/kootenay/sources-radium-springs"
"When is the Canada Strong Pass valid for discounts during the winter season at Radium Hot Springs?","From December 12, 2025 to January 15, 2026.","https://parks.canada.ca/pn-np/bc/kootenay/sources-radium-springs"
"What is the address of the Visitor Centre for Kootenay National Park?","7556 Main Street East, Radium Hot Springs, B.C., V0A 1M0.","https://parks.canada.ca/pn-np/bc/kootenay"
"Which email address can hikers use to share pictures and impressions of Kootenay National Park trails to keep the report accurate?","kootenayinfo-infokootenay@pc.gc.ca.","https://parks.canada.ca/pn-np/bc/kootenay/activ/randonnee-hike/etat-sentiers-trail-conditions"
"How far should visitors stay away from bears when viewing wildlife in Waterton Lakes National Park?","About three times the distance of three bus lengths (approximately 90 metres or 300 feet).","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/observationfaune-wildlifeviewing"
"What phone number should be called to report wildlife such as a predator in a campground in Waterton Lakes National Park?","Call 1-888-927-3367.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/observationfaune-wildlifeviewing"
"In what year did Waterton Lakes National Park establish its herd of plains bison in the bison paddock?","In 1952.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet"
"How long is the Horseshoe Basin Trail in Waterton Lakes National Park?","The Horseshoe Basin Trail is 21.3 km return.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet"
"What does the Siksikaisitapi word Aohkiaahkoinimaan mean regarding the Maskinonge area of Waterton Lakes National Park?","It means Water Nation Pipe.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet"
"What is the distance for the Bear's Hump trail in Waterton Lakes National Park?","2.8 km (1.8 mi) return.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/randonee-hiking"
"How long does the Crypt Lake hike in Waterton Lakes National Park take to complete?","Approximately 6 hours for the 17.2 km (10.7 mi) trail.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/randonee-hiking"
"When do wildflowers generally begin to bloom in the Horseshoe Basin area of Waterton Lakes National Park?","Wildflowers begin to bloom in May.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet"
"What two national parks were recognized by the International Dark Sky Association as an International Dark Sky Park in 2017?","Waterton Lakes National Park and Glacier National Park of the United States.","https://parks.canada.ca/pn-np/ab/waterton/activ/experiences/tranquille-quiet"
"What is the general inquiries phone number for Waterton Lakes National Park?","403-859-5133.","https://parks.canada.ca/pn-np/ab/waterton"
"How many species of birds have been recorded in the Point Pelee National Park Birding Area?","More than 390 species of birds.","https://parks.canada.ca/pn-np/on/pelee/activ/oiseaux-birds"
"What is the length of the Centennial Hike and Bike Trail in Point Pelee National Park?","The Centennial Hike and Bike Trail is 6 km long.","https://parks.canada.ca/pn-np/on/pelee/activ/velo-bicycling"
"From what dates does the Chinquapin Oak Trail in Point Pelee National Park become a pedestrian-only trail for birding?","From April 15 to May 31 yearly.","https://parks.canada.ca/pn-np/on/pelee/activ/velo-bicycling"
"How many kilometres of bike trails are available to explore in Point Pelee National Park?","There are 12 km of bike trails.","https://parks.canada.ca/pn-np/on/pelee/activ/velo-bicycling"
"What time do freighter canoe tours take place at Point Pelee National Park on Saturdays and Sundays?","At 11:30 am, 1:30 pm, and 3:30 pm.","https://parks.canada.ca/pn-np/on/pelee/activ/pagayez-paddling"
"What phone number must be called to reserve a spot on the Freighter Canoe Tour in Point Pelee National Park?","519-322-2365 ext. 0.","https://parks.canada.ca/pn-np/on/pelee/activ/pagayez-paddling"
"Which company provides canoe and kayak rentals at Point Pelee National Park?","Pelee Wings.","https://parks.canada.ca/pn-np/on/pelee/activ/pagayez-paddling"
"How long is the Marsh Boardwalk trail in Point Pelee National Park?","The Marsh Boardwalk is a 1 km loop that takes approximately 45 minutes.","https://parks.canada.ca/pn-np/on/pelee/activ/randonnee-hiking"
"In what month can visitors see the flowers of the Redbud tree on the Redbud Footpath in Point Pelee National Park?","Near the end of May.","https://parks.canada.ca/pn-np/on/pelee/activ/randonnee-hiking"
"What is the address for Point Pelee National Park?","1118 Point Pelee Drive, Leamington ON N8H 3V4.","https://parks.canada.ca/pn-np/on/pelee"
"How many campsites and yurts are located in the Cyprus Lake Campground at Bruce Peninsula National Park?","The campground has 232 campsites and 10 yurts.","https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations"
"During what dates are reservations required for Halfway Log Dump parking in Bruce Peninsula National Park?","Reservations are required from June 19 to September 7.","https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations"
"How long is the hike from the parking lot to the rugged shoreline at Halfway Log Dump in Bruce Peninsula National Park?","It is about a 1 km hike.","https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations"
"What is the address of the Parks Canada Visitor Centre for Bruce Peninsula National Park?","120 Chi sin tib dek Road, Tobermory ON N0H 2R0.","https://parks.canada.ca/pn-np/on/bruce"
"How long does it take to hike the Horse Lake Trail in Bruce Peninsula National Park?","It takes approximately 0.5 hours to hike the 1 km trail.","https://parks.canada.ca/pn-np/on/bruce/activ/sentiers-trails"
"From what date will Tamarack campsites in Cyprus Lake Campground be available for winter camping in Bruce Peninsula National Park?","They will be available as of December 1.","https://parks.canada.ca/pn-np/on/bruce/activ"
"Between what dates are parking reservations required at Little Cove in Bruce Peninsula National Park?","From May 15 to September 15.","https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations"
"How long are the reserved parking time slots for Little Cove in Bruce Peninsula National Park?","Parking is by reservation only with four-hour time slots.","https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations"
"What telephone number can be called to report national park violations and public safety issues at Bruce Peninsula National Park?","1-877-852-3100.","https://parks.canada.ca/pn-np/on/bruce"
"Which island in Fathom Five National Marine Park is accessible via private tour boat from Tobermory?","Flowerpot Island.","https://parks.canada.ca/pn-np/on/bruce/activ/emplacements-locations"
