question,answer,source_page
"Approximately how many miles of hiking trails are available in Acadia National Park?","There are more than 150 miles of trails.","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"What is the maximum allowed leash length for pets on trails in Acadia National Park?","Pets must be kept on a leash no longer than 6 feet (1.8 m).","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"Are pets permitted on ladder trails in Acadia National Park?","No, pets are not permitted on ladder trails.","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"What color blazes mark the hiking trails in Acadia National Park?","The trails are marked with blue trail blazes.","https://www.nps.gov/acad/planyourvisit/hiking.htm"
"Which ferry provides a daily voyage between Port Angeles and Victoria, BC, near Olympic National Park?","The Coho Ferry, operated by Black Ball Ferry Line.","https://www.nps.gov/olym/planyourvisit/directions.htm"
"What are the departure times for the first and last Hurricane Ridge Shuttles from downtown Port Angeles to Olympic National Park during the summer?","The first shuttle leaves Port Angeles at 8 AM and the last shuttle leaves Hurricane Ridge at 5:30 PM.","https://www.nps.gov/olym/planyourvisit/directions.htm"
"How far is the Elwha Valley located from Port Angeles in Olympic National Park?","The Elwha Valley is located 11 miles west of Port Angeles.","https://www.nps.gov/olym/planyourvisit/visiting-the-elwha.htm"
"Until what date did Olympic National Park, the Lower Elwha Klallam Tribe, and the WDFW extend the closure of fisheries in the Elwha River?","Until June 2025.","https://www.nps.gov/olym/planyourvisit/visiting-the-elwha.htm"
"What is the average yearly precipitation in the Hoh Rain Forest at Olympic National Park?","The yearly average is 140 inches (3.55 meters) of precipitation.","https://www.nps.gov/olym/planyourvisit/visiting-the-hoh.htm"
"How many campsites are located in the Hoh Rain Forest campground at Olympic National Park?","There are 72 campsites.","https://www.nps.gov/olym/planyourvisit/visiting-the-hoh.htm"
"How long is the Hall of Mosses Trail in the Hoh Rain Forest of Olympic National Park?","The Hall of Mosses Trail is an iconic loop that is 0.8 miles (1.2 km) long.","https://www.nps.gov/olym/planyourvisit/visiting-the-hoh.htm"
"How far south of Port Angeles is Hurricane Ridge located in Olympic National Park?","Hurricane Ridge is located 17 miles south of Port Angeles.","https://www.nps.gov/olym/planyourvisit/visiting-hurricane-ridge.htm"
"On which days is the Hurricane Ridge Road scheduled to be open during the winter season in Olympic National Park?","It is scheduled to be open Friday through Sunday and holiday Mondays, weather and road conditions permitting.","https://www.nps.gov/olym/planyourvisit/visiting-hurricane-ridge.htm"
"How many campsites does the Heart O' the Hills campground have near Hurricane Ridge in Olympic National Park?","It has 105 campsites in the old-growth forest.","https://www.nps.gov/olym/planyourvisit/visiting-hurricane-ridge.htm"
"How much is the 7-day entrance fee for a private, non-commercial vehicle at Grand Teton National Park?","The entrance fee is $35.00.","https://www.nps.gov/grte/faqs.htm"
"Between which dates are portions of the Teton Park Road and Moose-Wilson Road closed to vehicles in Grand Teton National Park?","They are closed to vehicles from November 1 through April 30 or longer depending on snow conditions.","https://www.nps.gov/grte/faqs.htm"
"At which visitor center in Grand Teton National Park can visitors learn about Indigenous cultures and view the Indigenous Arts and Cultural Demonstration Program?","The Colter Bay Visitor Center.","https://www.nps.gov/grte/planyourvisit/colterbayplan.htm"
"How deep is the natural lake portion of Jackson Lake in Grand Teton National Park?","It is a 400-foot deep natural lake.","https://www.nps.gov/grte/planyourvisit/colterbayplan.htm"
"How was the Craig Thomas Discovery and Visitor Center in Grand Teton National Park funded?","$8 million from Congress, $1.5 million from the Grand Teton Association, and more than $12 million from the Grand Teton National Park Foundation.","https://www.nps.gov/grte/planyourvisit/mooseplan.htm"
"Who built the iconic barns located on Mormon Row in Grand Teton National Park?","Brothers John Moulton and T.A. Moulton.","https://www.nps.gov/grte/planyourvisit/mooseplan.htm"
"How far north of Moose Junction did Ansel Adams take his famous 1942 picture of the Snake River in Grand Teton National Park?","About 8.5 miles north of Moose Junction at the Snake River Overlook.","https://www.nps.gov/grte/planyourvisit/mooseplan.htm"
"How deep is Jenny Lake in Grand Teton National Park?","Jenny Lake is 256 feet deep at its deepest point.","https://www.nps.gov/grte/planyourvisit/jennylakeplan.htm"
"Who was Jenny Lake in Grand Teton National Park named after?","It was named after Jenny Leigh, the Shoshone Indian wife of Richard 'Beaver Dick' Leigh.","https://www.nps.gov/grte/planyourvisit/jennylakeplan.htm"
"How far is the roundtrip hike to Hidden Falls from the visitor center at Jenny Lake in Grand Teton National Park?","It is a 5-mile (8 km) roundtrip hike from the visitor center.","https://www.nps.gov/grte/planyourvisit/jennylakeplan.htm"
"Which campgrounds in Glacier National Park offer shower facilities exclusively for their guests?","St. Mary, Fish Creek, and Apgar campgrounds.","https://www.nps.gov/glac/faqs.htm"
"What group sizes are permitted in the group sites at Glacier National Park campgrounds?","Group sites are for groups of 9 to 24 campers.","https://www.nps.gov/glac/faqs.htm"
"Which loops and specific sites are designated as generator-free in Glacier National Park campgrounds?","The entirety of Sprague Creek Campground, Loop C in Fish Creek, Loop A in St. Mary, sites 49-84 in Rising Sun, sites 86-100 in Many Glacier, and sites 1-36 in Two Medicine.","https://www.nps.gov/glac/faqs.htm"
"What is the text number and code to receive live updates when first-come, first-served campgrounds fill up at Glacier National Park?","Text GNPCGS to 333111.","https://www.nps.gov/glac/faqs.htm"
"How long is the hike to Apgar Lookout from the trailhead in Glacier National Park?","The hike is 3.6 miles (5.8 km) one-way.","https://www.nps.gov/glac/planyourvisit/hikinglakemcdonald.htm"
"What is the elevation gain for the Mt. Brown Lookout hike in Glacier National Park?","The elevation gain is 4,325 ft (1,318 m).","https://www.nps.gov/glac/planyourvisit/hikinglakemcdonald.htm"
"How long is the hike to Iceberg Lake from the Iceberg Ptarmigan Trailhead in Glacier National Park?","It is 4.8 miles (7.7 km) one-way.","https://www.nps.gov/glac/planyourvisit/hikingmanyglacier.htm"
"Between which months are the Ptarmigan Tunnel doors generally open in Glacier National Park?","Tunnel doors generally open mid-July to late September.","https://www.nps.gov/glac/planyourvisit/hikingmanyglacier.htm"
"What is the fee to rent snowshoes at the Apgar Visitor Center for ranger-led hikes in Glacier National Park?","The fee is $2.","https://www.nps.gov/glac/planyourvisit/guided-winter-activities.htm"
"At what forecasted temperature will ranger-led snowshoe walks in Glacier National Park be canceled?","Walks will be canceled if West Glacier temperatures are forecasted below 10° F.","https://www.nps.gov/glac/planyourvisit/guided-winter-activities.htm"
